crs;forma;controla;fuente;aportado_por;fecha;nota
santiago-sur-ii;libertad_condicional;si;Lo sé por causas que tramito habitualmente en ese CRS — Experiencia;jgsbcausas-glitch;2026-08-18;
santiago-sur-ii;lv;si;Lo sé por causas que tramito habitualmente en ese CRS — Experiencia;jgsbcausas-glitch;2026-08-18;
santiago-sur-ii;lvi;si;Lo sé por causas que tramito habitualmente en ese CRS — Experiencia;jgsbcausas-glitch;2026-08-18;
santiago-sur-ii;psbc;si;Lo sé por causas que tramito habitualmente en ese CRS — Experiencia;jgsbcausas-glitch;2026-08-18;
santiago-sur-ii;reclusion;si;Lo sé por causas que tramito habitualmente en ese CRS — Experiencia;jgsbcausas-glitch;2026-08-18;
santiago-sur-ii;remision;si;Lo sé por causas que tramito habitualmente en ese CRS — Experiencia;jgsbcausas-glitch;2026-08-18;
santiago-sur-ii;telematico;si;Lo sé por causas que tramito habitualmente en ese CRS — Experiencia;jgsbcausas-glitch;2026-08-18;
